a;degC
0;243.2073577
0.005765207;243.3146581
0.011470413;243.0624246
0.022880827;242.5304268
0.045701654;242.0752719
0.068522481;241.6120321
0.114164135;238.5872339
0.205447442;227.2494459
0.388014058;203.8988645
0.570580673;184.6896764
0.935713904;162.1355045
1.300847135;149.0791008
2.031113596;137.3924033
2.761380058;131.7763624
3.491646519;128.8591618
4.221912981;127.2456896
5.682445904;125.9689166
7.142978827;125.3374197
8.603511751;125.0278961
10.06404467;124.903217
11.5245776;124.8760349
14.44564344;124.8887608
17.36670929;124.9279954
20.28777514;124.9741981
23.20884098;125.0171372
26.20884098;125.0533697
29.20884098;125.0821737
32.20884098;125.104482
